departement,circonscription,communes
79,3,"Airvault, Argenton-l'Eglise, Argentonnay, Assais-les-Jumeaux, Availles-Thouarsais, Boismé, Bouillé-Loretz, Boussais, Bressuire, Bretignolles, Brie, Brion-près-Thouet, Cerizay, Chanteloup, Chiché, Cirières, Clessé, Combrand, Coulonges-Thouarsais, Courlay, Faye-l'Abbesse, Geay, Genneton, Glénay, Gourgé, Irais, L'Absie, La Chapelle-Saint-Etienne, La Chapelle-Saint-Laurent, La Forêt-sur-Sèvre, La Petite-Boissière, Largeasse, Le Breuil-Bernard, Le Chillou, Le Pin, Louin, Louzy, Luché-Thouarsais, Luzay, Maisontiers, Marnes, Mauléon, Mauzé-Thouarsais, Missé, Moncoutant, Montravers, Moutiers-sous-Chantemerle, Nueil-les-Aubiers, Oiron, Pas-de-Jeu, Pierrefitte, Pugny, Saint-Amand-sur-Sèvre, Saint-André-sur-Sèvre, Saint-Aubin-du-Plain, Saint-Cyr-la-Lande, Saint-Généroux, Saint-Jacques-de-Thouars, Saint-Jean-de-Thouars, Saint-Jouin-de-Marnes, Saint-Jouin-de-Milly, Saint-Loup-Lamairé, Saint-Léger-de-Montbrun, Saint-Martin-de-Mâcon, Saint-Martin-de-Sanzay, Saint-Maurice Etusson, Saint-Paul-en-Gâtine, Saint-Pierre-des-Echaubrognes, Saint-Varent, Sainte-Gemme, Sainte-Radegonde, Sainte-Verge, Taizé-Maulais, Tessonnière, Thouars, Tourtenay, Trayes, Val en Vignes et Voulmentin"
80,1,"Abbeville, Ailly-le-Haut-Clocher, Ailly-sur-Somme, Allonville, Amiens (en partie), Argoeuves, Bellancourt, Belloy-sur-Somme, Berneuil, Berteaucourt-les-Dames, Bettencourt-Saint-Ouen, Bonneville, Bouchon, Bourdon, Bray-lès-Mareuil, Breilly, Brucamps, Buigny-l'Abbé, Bussus-Bussuel, Cambron, Camon, Canaples, Caours, Cavillon, Cocquerel, Condé-Folie, Coulonvillers, Cramont, Crouy-Saint-Pierre, Domart-en-Ponthieu, Domqueur, Drucat, Eaucourt-sur-Somme, Epagne-Epagnette, Ergnies, Ferrières, Fieffes-Montrelet, Flixecourt, Fourdrinoy, Francières, Franqueville, Fransu, Gorenflos, Grand-Laviers, Halloy-lès-Pernois, Hangest-sur-Somme, Havernas, L'Etoile, La Chaussée-Tirancourt, La Vicogne, Lanches-Saint-Hilaire, Le Mesge, Long, Longueau, Maison-Roland, Mareuil-Caubert, Mesnil-Domqueur, Mouflers, Naours, Neufmoulin, Oneux, Pernois, Picquigny, Pont-Remy, Poulainville, Ribeaucourt, Saint-Léger-lès-Domart, Saint-Ouen, Saint-Riquier, Saint-Sauveur, Soues, Surcamps, Vauchelles-les-Quesnoy, Vauchelles-lès-Domart, Vignacourt, Ville-le-Marclet, Villers-sous-Ailly, Wargnies, Yaucourt-Bussus, Yonval et Yzeux"
80,2,"Amiens (en partie), Blangy-Tronville, Boves, Cachy, Cagny, Cottenchy, Dommartin, Dreuil-lès-Amiens, Dury, Estrées-sur-Noye, Fouencamps, Gentelles, Glisy, Grattepanche, Guyencourt-sur-Noye, Hailles, Hébécourt, Pont-de-Metz, Remiencourt, Rivery, Rumigny, Sains-en-Amiénois, Saint-Fuscien, Saint-Sauflieu, Saleux, Salouël, Saveuse, Thézy-Glimont et Vers-sur-Selles"
80,3,"Acheux-en-Vimeu, Agenvillers, Aigneville, Airaines, Allenay, Allery, Andainville, Argoules, Arrest, Arry, Ault, Aumâtre, Avelesges, Avesnes-Chaussoy, Bailleul, Beauchamps, Bermesnil, Bernay-en-Ponthieu, Bettencourt-Rivière, Biencourt, Boismont, Boufflers, Bougainville, Bouillancourt-en-Séry, Bourseville, Bouttencourt, Bouvaincourt-sur-Bresle, Bovelles, Brailly-Cornehotte, Briquemesnil-Floxicourt, Brutelles, Buigny-Saint-Maclou, Buigny-lès-Gamaches, Béhen, Béthencourt-sur-Mer, Cahon, Camps-en-Amiénois, Canchy, Cannessières, Cayeux-sur-Mer, Cerisy-Buleux, Chépy, Citerne, Clairy-Saulchoix, Conteville, Creuse, Crécy-en-Ponthieu, Dargnies, Dominois, Domléger-Longvillers, Dompierre-sur-Authie, Domvast, Doudelainville, Embreville, Epaumesnil, Ercourt, Erondelle, Estréboeuf, Estrées-lès-Crécy, Etréjust, Favières, Feuquières-en-Vimeu, Fluy, Fontaine-le-Sec, Fontaine-sur-Maye, Fontaine-sur-Somme, Forceville-en-Vimeu, Forest-Montiers, Forest-l'Abbaye, Fort-Mahon-Plage, Foucaucourt-Hors-Nesle, Framicourt, Franleu, Fresnes-Tilloloy, Fresneville, Fresnoy-Andainville, Fresnoy-au-Val, Fressenneville, Frettecuisse, Frettemeule, Friaucourt, Friville-Escarbotin, Froyelles, Frucourt, Gamaches, Gapennes, Grébault-Mesnil, Gueschart, Guignemicourt, Hallencourt, Hautvillers-Ouville, Heucourt-Croquoison, Hiermont, Huchenneville, Huppy, Inval-Boiron, Laleu, Lamotte-Buleux, Lanchères, Le Boisle, Le Crotoy, Le Mazis, Le Titre, Le Translay, Liercourt, Ligescourt, Lignières-en-Vimeu, Limeux, Longpré-les-Corps-Saints, Machiel, Machy, Maisnières, Maison-Ponthieu, Martainneville, Mers-les-Bains, Miannay, Millencourt-en-Ponthieu, Molliens-Dreuil, Mons-Boubert, Montagne-Fayel, Mouflières, Moyenneville, Méneslies, Mérélessart, Métigny, Nampont, Nesle-l'Hôpital, Neslette, Neuilly-l'Hôpital, Neuilly-le-Dien, Neuville-Coppegueule, Neuville-au-Bois, Nibas, Nouvion, Noyelles-en-Chaussée, Noyelles-sur-Mer, Ochancourt, Oisemont, Oissy, Oust-Marest, Pendé, Pissy, Ponches-Estruval, Ponthoile, Port-le-Grand, Quend, Quesnoy-le-Montant, Quesnoy-sur-Airaines, Quevauvillers, Ramburelles, Rambures, Regnière-Ecluse, Revelles, Riencourt, Rue, Saigneville, Sailly-Flibeaucourt, Saint-Aubin-Montenoy, Saint-Aubin-Rivière, Saint-Blimont, Saint-Léger-sur-Bresle, Saint-Maulvis, Saint-Maxent, Saint-Quentin-en-Tourmont, Saint-Quentin-la-Motte-Croix-au-Bailly, Saint-Valery-sur-Somme, Saisseval, Senarpont, Seux, Sorel-en-Vimeu, Tailly, Tilloy-Floriville, Toeufles, Tours-en-Vimeu, Tully, Valines, Vaudricourt, Vaux-Marquenneville, Vercourt, Vergies, Villeroy, Villers-sur-Authie, Vironchaux, Vismes, Vitz-sur-Authie, Vron, Warlus, Wiry-au-Mont, Woignarue, Woincourt, Woirel, Yvrench, Yvrencheux et Yzengremer"
80,4,"Agenville, Ailly-sur-Noye, Andechy, Arguel, Arvillers, Assainvillers, Aubercourt, Aubigny, Aubvillers, Aumont, Autheux, Authieule, Ayencourt, Bacouel-sur-Selle, Baizieux, Barly, Bavelincourt, Beaucamps-le-Jeune, Beaucamps-le-Vieux, Beaucourt-en-Santerre, Beaucourt-sur-l'Hallue, Beaumetz, Beauquesne, Beauval, Becquigny, Belleuse, Belloy-Saint-Léonard, Bergicourt, Bernaville, Bernâtre, Bertangles, Berteaucourt-lès-Thennes, Bettembos, Blangy-sous-Poix, Boisbergues, Bonnay, Bosquel, Bouillancourt-la-Bataille, Bouquemaison, Boussicourt, Braches, Brassy, Bresle, Brocourt, Brévillers, Bus-la-Mésière, Bussy-lès-Daours, Bussy-lès-Poix, Béalcourt, Béhencourt, Candas, Cantigny, Cardonnette, Caulières, Cayeux-en-Santerre, Chaussoy-Epagny, Chirmont, Coisy, Contay, Contoire, Contre, Conty, Corbie, Coullemelle, Courcelles-sous-Moyencourt, Courcelles-sous-Thoix, Courtemanche, Croixrault, Daours, Davenescourt, Domart-sur-la-Luce, Domesmont, Doullens, Dromesnil, Démuin, Eplessier, Epécamps, Equennes-Eramecourt, Erches, Esclainvillers, Essertaux, Etelfay, Famechon, Faverolles, Fescamps, Fienvillers, Fignières, Flers-sur-Noye, Flesselles, Fleury, Folleville, Fontaine-sous-Montdidier, Fossemanant, Fouilloy, Fourcigny, Fransures, Franvillers, Fresnoy-en-Chaussée, Fricamps, Frohen-sur-Authie, Fréchencourt, Frémontiers, Gauville, Gorges, Gratibus, Grivesnes, Grivillers, Grouches-Luchuel, Guerbigny, Guizancourt, Gézaincourt, Hallivillers, Hamelet, Hangard, Hangest-en-Santerre, Hargicourt, Heilly, Hem-Hardinval, Hescamps, Heuzecourt, Hornoy-le-Bourg, Humbercourt, Hénencourt, Ignaucourt, Jumel, La Faloise, La Neuville-Sire-Bernard, Laboissière-en-Santerre, Lachapelle, Lafresguimont-Saint-Martin, Lahoussoye, Lamaronde, Lamotte-Brebière, Lamotte-Warfusée, Lawarde-Mauger-l'Hortoy, Le Cardonnois, Le Hamel, Le Meillard, Le Plessier-Rozainvillers, Le Quesne, Le Quesnel, Lignières, Lignières-Châtelain, Liomer, Loeuilly, Longuevillette, Louvrechy, Lucheux, Mailly-Raineval, Maizicourt, Malpart, Marcelcave, Marestmontiers, Marlers, Marquivillers, Meigneux, Mesnil-Saint-Georges, Mirvaux, Molliens-au-Bois, Monsures, Montdidier, Montigny-les-Jongleurs, Montigny-sur-l'Hallue, Montonvillers, Moreuil, Morisel, Morvillers-Saint-Saturnin, Moyencourt-lès-Poix, Méricourt-en-Vimeu, Méréaucourt, Mézerolles, Mézières-en-Santerre, Namps-Maisnil, Nampty, Neuville-lès-Loeuilly, Neuvillette, Occoches, Offignies, Oresmaux, Outrebois, Piennes-Onvillers, Pierregot, Pierrepont-sur-Avre, Plachy-Buyon, Poix-de-Picardie, Pont-Noyelles, Prouville, Prouzel, Querrieu, Quiry-le-Sec, Rainneville, Remaisnil, Remaugies, Ribemont-sur-Ancre, Rogy, Rollot, Rouvrel, Rubempré, Rubescourt, Saint-Acheul, Saint-Germain-sur-Bresle, Saint-Gratien, Saint-Vaast-en-Chaussée, Sainte-Segrée, Saulchoy-sous-Poix, Sauvillers-Mongival, Sentelie, Sourdon, Talmas, Terramesnil, Thennes, Thieulloy-l'Abbaye, Thieulloy-la-Ville, Thoix, Thory, Tilloy-lès-Conty, Vadencourt, Vaire-sous-Corbie, Vaux-en-Amiénois, Vaux-sur-Somme, Vecquemont, Velennes, Villers-Bocage, Villers-Bretonneux, Villers-Campsart, Villers-Tournelle, Villers-aux-Erables, Vraignes-lès-Hornoy, Warloy-Baillon, Warsy et Wiencourt-l'Equipée"
80,5,"Ablaincourt-Pressoir, Acheux-en-Amiénois, Aizecourt-le-Bas, Aizecourt-le-Haut, Albert, Allaines, Armancourt, Arquèves, Assevillers, Athies, Auchonvillers, Authie, Authuille, Aveluy, Balâtre, Barleux, Bayencourt, Bayonvillers, Bazentin, Beaucourt-sur-l'Ancre, Beaufort-en-Santerre, Beaumont-Hamel, Belloy-en-Santerre, Bernes, Berny-en-Santerre, Bertrancourt, Beuvraignes, Biaches, Biarre, Billancourt, Bouchavesnes-Bergen, Bouchoir, Bouvincourt-en-Vermandois, Bouzincourt, Bray-sur-Somme, Breuil, Brie, Brouchy, Buire-Courcelles, Buire-sur-l'Ancre, Bus-lès-Artois, Bussu, Buverchy, Bécordel-Bécourt, Béthencourt-sur-Somme, Caix, Cappy, Carnoy, Carrépuis, Cartigny, Cerisy, Champien, Chaulnes, Chilly, Chipilly, Chuignes, Chuignolles, Cizancourt, Cléry-sur-Somme, Coigneux, Colincamps, Combles, Contalmaison, Courcelette, Courcelles-au-Bois, Cressy-Omencourt, Croix-Moligneaux, Crémery, Curchy, Curlu, Damery, Dancourt-Popincourt, Dernancourt, Devise, Doingt, Dompierre-Becquincourt, Douilly, Driencourt, Eclusier-Vaux, Englebelmer, Ennemain, Epehy, Eppeville, Epénancourt, Equancourt, Ercheu, Esmery-Hallon, Estrées-Deniécourt, Estrées-Mons, Etalon, Eterpigny, Etinehem-Méricourt, Etricourt-Manancourt, Falvy, Fay, Feuillères, Fins, Flaucourt, Flers, Folies, Fonches-Fonchette, Fontaine-lès-Cappy, Forceville, Foucaucourt-en-Santerre, Fouquescourt, Framerville-Rainecourt, Fransart, Fresnes-Mazancourt, Fresnoy-lès-Roye, Fricourt, Frise, Ginchy, Goyencourt, Grandcourt, Gruny, Grécourt, Gueudecourt, Guillaucourt, Guillemont, Guyencourt-Saulcourt, Hallu, Ham, Hancourt, Harbonnières, Hardecourt-aux-Bois, Harponville, Hattencourt, Hem-Monacu, Herbécourt, Herleville, Herly, Hervilly, Hesbécourt, Heudicourt, Hombleux, Hypercourt, Hédauville, Hérissart, Irles, L'Echelle-Saint-Aurin, La Chavatte, La Neuville-lès-Bray, Languevoisin-Quiquery, Laucourt, Laviéville, Lesboeufs, Liancourt-Fosse, Licourt, Lihons, Liéramont, Longavesnes, Longueval, Louvencourt, Léalvillers, Mailly-Maillet, Mametz, Marché-Allouarde, Marchélepot, Maricourt, Marieux, Marquaix, Matigny, Maucourt, Maurepas, Mesnil-Bruntel, Mesnil-Martinsart, Mesnil-Saint-Nicaise, Mesnil-en-Arrouaise, Millencourt, Miraumont, Misery, Moislains, Monchy-Lagache, Montauban-de-Picardie, Morchain, Morcourt, Morlancourt, Moyencourt, Muille-Villette, Méaulte, Méharicourt, Méricourt-l'Abbé, Nesle, Nurlu, Offoy, Ovillers-la-Boisselle, Pargny, Parvillers-le-Quesnoy, Poeuilly, Potte, Pozières, Proyart, Puchevillers, Punchy, Puzeaux, Pys, Péronne, Quivières, Raincheval, Rancourt, Rethonvillers, Roiglise, Roisel, Ronssoy, Rosières-en-Santerre, Rouvroy-en-Santerre, Rouy-le-Grand, Rouy-le-Petit, Roye, Sailly-Laurette, Sailly-Saillisel, Sailly-le-Sec, Saint-Christ-Briost, Saint-Léger-lès-Authie, Saint-Mard, Sancourt, Senlis-le-Sec, Sorel, Soyécourt, Suzanne, Templeux-la-Fosse, Templeux-le-Guérard, Tertry, Thiepval, Thièvres, Tilloloy, Tincourt-Boucly, Toutencourt, Treux, Ugny-l'Equipée, Varennes, Vauchelles-lès-Authie, Vauvillers, Vermandovillers, Verpillières, Ville-sur-Ancre, Villecourt, Villers-Carbonnel, Villers-Faucon, Villers-lès-Roye, Voyennes, Vraignes-en-Vermandois, Vrély, Warvillers et Y"
81,1,"Alban, Albi (en partie), Ambialet, Anglès, Arifat, Assac, Barre, Bellegarde-Marsal, Berlats, Brassac, Burlats, Cadix, Cambon, Cambounès, Carlus, Castres (en partie), Courris, Cunac, Curvalle, Dénat, Escroux, Espérausses, Fauch, Faussergues, Fontrieu, Frayssines, Fréjairolles, Gijounet, Laboutarie, Lacapelle-Pinet, Lacaune, Lacaze, Lacrouzette, Lamillarié, Lamontélarié, Lasfaillades, Le Bez, Le Dourn, Le Fraysse, Le Masnau-Massuguiès, Le Sequestre, Le Travet, Lombers, Lédas-et-Penthiès, Massals, Miolles, Mont-Roc, Montfa, Montredon-Labessonnié, Moulin-Mage, Mouzieys-Teulet, Murat-sur-Vèbre, Nages, Orban, Padiès, Paulinet, Poulan-Pouzols, Puygouzon, Rayssac, Ronel, Roquecourbe, Rouffiac, Roumégoux, Réalmont, Saint-André, Saint-Antonin-de-Lacalm, Saint-Cirgue, Saint-Germier, Saint-Jean-de-Vals, Saint-Julien-Gaulène, Saint-Juéry, Saint-Lieux-Lafenasse, Saint-Michel-Labadié, Saint-Pierre-de-Trivisy, Saint-Salvi-de-Carcavès, Saliès, Senaux, Sieurac, Teillet, Terre-Clapier, Trébas, Vabre, Valence-d'Albigeois, Viane et Villefranche-d'Albigeois"
81,2,"Albi (en partie), Almayrac, Alos, Amarens, Andillac, Andouque, Arthès, Aussac, Beauvais-sur-Tescou, Bernac, Blaye-les-Mines, Bournazel, Brens, Briatexte, Broze, Busque, Cadalen, Cagnac-les-Mines, Cahuzac-sur-Vère, Campagnac, Carmaux, Castanet, Castelnau-de-Lévis, Castelnau-de-Montmiral, Cestayrols, Combefa, Cordes-sur-Ciel, Coufouleux, Crespin, Crespinet, Donnazac, Fayssac, Florentin, Frausseilles, Fénols, Gaillac, Graulhet, Grazac, Itzac, Jouqueviel, La Sauzière-Saint-Jean, Labarthe-Bleys, Labastide-Gabausse, Labastide-de-Lévis, Labessière-Candeil, Lacapelle-Ségalar, Lagrave, Laparrouquial, Larroque, Lasgraisses, Le Garric, Le Riols, Le Ségur, Le Verdier, Les Cabannes, Lescure-d'Albigeois, Lisle-sur-Tarn, Livers-Cazelles, Loubers, Loupiac, Mailhoc, Marnaves, Marssac-sur-Tarn, Milhars, Milhavet, Mirandol-Bourgnounac, Missècle, Monestiés, Montans, Montauriol, Montdurausse, Montels, Montgaillard, Montirat, Montrosier, Montvalen, Moularès, Moulayrès, Mouzieys-Panens, Mézens, Noailles, Pampelonne, Parisot, Penne, Peyrole, Puybegon, Puycelci, Rabastens, Rivières, Roquemaure, Rosières, Roussayrolles, Saint-Beauzile, Saint-Benoît-de-Carmaux, Saint-Christophe, Saint-Gauzens, Saint-Grégoire, Saint-Jean-de-Marcel, Saint-Marcel-Campes, Saint-Martin-Laguépie, Saint-Michel-de-Vax, Saint-Urcisse, Sainte-Croix, Sainte-Cécile-du-Cayrou, Sainte-Gemme, Salles, Salvagnac, Saussenac, Senouillac, Souel, Sérénac, Tanus, Tauriac, Taïx, Terssac, Tonnac, Tréban, Trévien, Técou, Valderiès, Vaour, Vieux, Villeneuve-sur-Vère, Vindrac-Alayrac et Virac"
81,3,"Aguts, Aiguefonde, Albine, Algans, Ambres, Appelle, Arfons, Aussillon, Bannières, Belcastel, Belleserre, Bertre, Blan, Boissezon, Bout-du-Pont-de-Larn, Brousse, Cabanès, Cahuzac, Cambon-lès-Lavaur, Cambounet-sur-le-Sor, Carbes, Castres (en partie), Caucalières, Cuq, Cuq-Toulza, Damiatte, Dourgne, Durfort, Escoussens, Fiac, Fréjeville, Garrevaques, Garrigues, Giroussens, Guitalens-L'Albarède, Jonquières, Labastide-Rouairoux, Labastide-Saint-Georges, Laboulbène, Labruguière, Lacabarède, Lacougotte-Cadoul, Lacroisille, Lagardiolle, Lagarrigue, Lautrec, Lavaur, Le Rialet, Le Vintrou, Lempaut, Les Cammazes, Lescout, Lugan, Magrin, Marzens, Massac-Séran, Massaguel, Maurens-Scopont, Mazamet, Montcabrier, Montdragon, Montgey, Montpinier, Mouzens, Navès, Noailhac, Palleville, Payrin-Augmontel, Peyregoux, Pont-de-Larn, Poudis, Prades, Pratviel, Puycalvel, Puylaurens, Puéchoursi, Péchaudier, Roquevidal, Rouairoux, Saint-Affrique-les-Montagnes, Saint-Agnan, Saint-Amancet, Saint-Amans-Soult, Saint-Amans-Valtoret, Saint-Avit, Saint-Genest-de-Contest, Saint-Germain-des-Prés, Saint-Jean-de-Rives, Saint-Julien-du-Puy, Saint-Lieux-lès-Lavaur, Saint-Paul-Cap-de-Joux, Saint-Salvy-de-la-Balme, Saint-Sernin-lès-Lavaur, Saint-Sulpice la Pointe, Sauveterre, Saïx, Serviès, Sorèze, Soual, Sémalens, Teulat, Teyssode, Valdurenque, Veilhes, Verdalle, Vielmur-sur-Agout, Villeneuve-lès-Lavaur, Viterbe, Viviers-lès-Lavaur, Viviers-lès-Montagnes et Vénès"
82,1,"Albias, Auty, Bioule, Bruniquel, Castanet, Caussade, Caylus, Cayrac, Cayriech, Cazals, Corbarieu, Espinas, Féneyrols, Ginals, Génébrières, L'Honor-de-Cos, La Salvetat-Belmontet, Labarthe, Labastide-de-Penne, Lacapelle-Livron, Lafrançaise, Laguépie, Lamothe-Capdeville, Lapenche, Lavaurette, Loze, Léojac, Mirabel, Molières, Monclar-de-Quercy, Montalzat, Montastruc, Montauban, Monteils, Montfermier, Montpezat-de-Quercy, Montricoux, Mouillac, Nègrepelisse, Parisot, Piquecos, Puycornet, Puygaillard-de-Quercy, Puylagarde, Puylaroque, Reyniès, Réalville, Saint-Antonin-Noble-Val, Saint-Cirq, Saint-Etienne-de-Tulmont, Saint-Georges, Saint-Nauphary, Saint-Projet, Saint-Vincent-d'Autéjac, Septfonds, Varen, Varennes, Vazerac, Vaïssac, Verfeil, Verlhac-Tescou, Villebrumier et Villemade"
82,2,"Albefeuille-Lagarde, Angeville, Asques, Aucamville, Auterive, Auvillar, Balignac, Bardigues, Barry-d'Islemade, Beaumont-de-Lomagne, Beaupuy, Belbèze-en-Lomagne, Belvèze, Bessens, Boudou, Bouillac, Bouloc-en-Quercy, Bourg-de-Visa, Bourret, Brassac, Bressols, Campsas, Canals, Castelferrus, Castelmayran, Castelsagrat, Castelsarrasin, Castéra-Bouzet, Caumont, Cazes-Mondenard, Comberouger, Cordes-Tolosannes, Coutures, Cumont, Dieupentale, Donzac, Dunes, Durfort-Lacapelette, Escatalens, Escazeaux, Espalais, Esparsac, Fabas, Fajolles, Faudoas, Fauroux, Finhan, Garganvillar, Gariès, Gasques, Gensac, Gimat, Glatens, Goas, Golfech, Goudourville, Gramont, Grisolles, La Ville-Dieu-du-Temple, Labastide-Saint-Pierre, Labastide-du-Temple, Labourgade, Lachapelle, Lacour, Lacourt-Saint-Pierre, Lafitte, Lamagistère, Lamothe-Cumont, Larrazet, Lauzerte, Lavit, Le Causé, Le Pin, Les Barthes, Lizac, Malause, Mansonville, Marignac, Marsac, Mas-Grenier, Maubec, Maumusson, Meauzac, Merles, Miramont-de-Quercy, Moissac, Monbéqui, Montagudet, Montaigu-de-Quercy, Montaïn, Montbarla, Montbartier, Montbeton, Montech, Montesquieu, Montgaillard, Montjoi, Nohic, Orgueil, Perville, Pommevic, Pompignan, Poupas, Puygaillard-de-Lomagne, Roquecor, Saint-Aignan, Saint-Amans-de-Pellagal, Saint-Amans-du-Pech, Saint-Arroumex, Saint-Beauzeil, Saint-Cirice, Saint-Clair, Saint-Jean-du-Bouzet, Saint-Loup, Saint-Michel, Saint-Nazaire-de-Valentane, Saint-Nicolas-de-la-Grave, Saint-Paul-d'Espis, Saint-Porquier, Saint-Sardos, Saint-Vincent-Lespinasse, Sainte-Juliette, Sauveterre, Savenès, Sistels, Sérignac, Touffailles, Tréjouls, Valeilles, Valence, Verdun-sur-Garonne et Vigueron"
83,1,Toulon (en partie)
83,2,"Belgentier, Evenos, La Farlède, La Valette-du-Var, Le Revest-les-Eaux, Ollioules, Solliès-Pont, Solliès-Toucas, Solliès-Ville et Toulon (en partie)"
83,3,"Carqueiranne, Hyères, La Crau, La Garde, La Londe-les-Maures et Le Pradet"
83,4,"Besse-sur-Issole, Bormes-les-Mimosas, Cabasse, Cavalaire-sur-Mer, Cogolin, Collobrières, Flassans-sur-Issole, Gassin, Gonfaron, Grimaud, La Croix-Valmer, La Garde-Freinet, La Môle, Le Cannet-des-Maures, Le Lavandou, Le Luc, Le Thoronet, Les Arcs, Les Mayons, Lorgues, Pignans, Plan-de-la-Tour, Ramatuelle, Rayol-Canadel-sur-Mer, Saint-Tropez, Sainte-Maxime, Taradeau et Vidauban"
83,5,"Bagnols-en-Forêt, Fréjus, Le Muy, Les Adrets-de-l'Estérel, Puget-sur-Argens, Roquebrune-sur-Argens et Saint-Raphaël"
83,6,"Brignoles, Camps-la-Source, Carnoules, Cuers, Forcalqueiret, Garéoult, La Cadière-d'Azur, La Celle, La Roquebrussanne, Le Beausset, Le Castellet, Le Val, Mazaugues, Méounes-lès-Montrieux, Nans-les-Pins, Néoules, Ollières, Pierrefeu-du-Var, Plan-d'Aups-Sainte-Baume, Pourcieux, Pourrières, Puget-Ville, Riboux, Rocbaron, Rougiers, Saint-Cyr-sur-Mer, Saint-Maximin-la-Sainte-Baume, Saint-Zacharie, Sainte-Anastasie-sur-Issole, Signes, Tourves et Vins-sur-Caramy"
83,7,"Bandol, La Seyne-sur-Mer, Saint-Mandrier-sur-Mer, Sanary-sur-Mer et Six-Fours-les-Plages"
83,8,"Aiguines, Ampus, Artignosc-sur-Verdon, Artigues, Aups, Bargemon, Bargème, Barjols, Baudinard-sur-Verdon, Bauduen, Bras, Brenon, Brue-Auriac, Callas, Callian, Carcès, Châteaudouble, Châteauvert, Châteauvieux, Claviers, Comps-sur-Artuby, Correns, Cotignac, Draguignan, Entrecasteaux, Esparron, Fayence, Figanières, Flayosc, Fox-Amphoux, Ginasservis, La Bastide, La Martre, La Motte, La Roque-Esclapon, La Verdière, Le Bourguet, Les Salles-sur-Verdon, Moissac-Bellevue, Mons, Montauroux, Montferrat, Montfort-sur-Argens, Montmeyan, Pontevès, Rians, Régusse, Saint-Antonin-du-Var, Saint-Julien, Saint-Martin, Saint-Paul-en-Forêt, Salernes, Seillans, Seillons-Source-d'Argens, Sillans-la-Cascade, Tanneron, Tavernes, Tourrettes, Tourtour, Trans-en-Provence, Trigance, Varages, Villecroze, Vinon-sur-Verdon et Vérignon"
84,1,"Avignon, Le Pontet et Morières-lès-Avignon"
84,2,"Bonnieux, Buoux, Cabrières-d'Avignon, Cadenet, Caumont-sur-Durance, Cavaillon, Cheval-Blanc, Châteauneuf-de-Gadagne, Cucuron, Fontaine-de-Vaucluse, Jonquerettes, L'Isle-sur-la-Sorgue, Lacoste, Lagnes, Lauris, Le Thor, Lourmarin, Maubec, Ménerbes, Mérindol, Oppède, Puget, Puyvert, Robion, Saint-Saturnin-lès-Avignon, Saumane-de-Vaucluse, Sivergues, Taillades, Vaugines et Villelaure"
84,3,"Althen-des-Paluds, Bédarrides, Carpentras (en partie), Courthézon, Entraigues-sur-la-Sorgue, La Roque-sur-Pernes, Le Beaucet, Mazan, Monteux, Pernes-les-Fontaines, Saint-Didier, Sorgues, Vedène, Velleron et Venasque"
84,4,"Beaumes-de-Venise, Beaumont-du-Ventoux, Bollène, Brantes, Buisson, Caderousse, Cairanne, Camaret-sur-Aigues, Châteauneuf-du-Pape, Crestet, Entrechaux, Faucon, Gigondas, Grillon, Jonquières, La Roque-Alric, Lafare, Lagarde-Paréol, Lamotte-du-Rhône, Lapalud, Le Barroux, Malaucène, Mondragon, Mornas, Orange, Piolenc, Puyméras, Rasteau, Richerenches, Roaix, Sablet, Saint-Léger-du-Ventoux, Saint-Marcellin-lès-Vaison, Saint-Romain-en-Viennois, Saint-Roman-de-Malegarde, Sainte-Cécile-les-Vignes, Savoillan, Suzette, Séguret, Sérignan-du-Comtat, Travaillan, Uchaux, Vacqueyras, Vaison-la-Romaine, Valréas, Villedieu, Violès et Visan"
84,5,"Ansouis, Apt, Aubignan, Aurel, Auribeau, Beaumettes, Beaumont-de-Pertuis, Blauvac, Bédoin, Cabrières-d'Aigues, Caromb, Carpentras (en partie), Caseneuve, Castellet, Crillon-le-Brave, Flassan, Gargas, Gignac, Gordes, Goult, Grambois, Joucas, La Bastide-des-Jourdans, La Bastidonne, La Motte-d'Aigues, La Tour-d'Aigues, Lagarde-d'Apt, Lioux, Loriol-du-Comtat, Malemort-du-Comtat, Mirabeau, Modène, Monieux, Mormoiron, Murs, Méthamis, Pertuis, Peypin-d'Aigues, Roussillon, Rustrel, Saignon, Saint-Christol, Saint-Hippolyte-le-Graveyron, Saint-Martin-de-Castillon, Saint-Martin-de-la-Brasque, Saint-Pantaléon, Saint-Pierre-de-Vassols, Saint-Saturnin-lès-Apt, Saint-Trinit, Sannes, Sarrians, Sault, Viens, Villars, Villes-sur-Auzon et Vitrolles-en-Lubéron"
